Name,Empty1,Population,Empty2,Year,Type,Empty3
Jasper,,906,,2022,"city, city_fourth_class",
Jasper,,"122,761",,2022,"county, county_first_class",
Jefferson,,"226,739",,2022,"county, county_w_charter",
Jefferson City,,"43,228",,2022,"city, county_seat, home_rule_city",
Jennings,,"12,895",,2022,"city, city_third_class",
Jens City,,9,,2015,"city, village, home_rule_city",
Jerico Springs,,160,,2022,"city, village",
Johnson,,"54,013",,2022,"county, county_fourth_class",
Jonesburg,,726,,2022,"city, city_fourth_class",
Joplin,,"51,762",,2022,"city, home_rule_city",
Josephville,,512,,2022,"city, village",
Junction City,,283,,2022,"city, village",
Kahoka,,"1,961",,2022,"city, county_seat, city_fourth_class",
Kansas City,,"508,090",,2022,"city, home_rule_city",
Kearney,,"10,404",,2022,"city, city_fourth_class",
Kelso,,554,,2022,"city, village",
Kennett,,"10,515",,2022,"city, county_seat, city_third_class",
Keytesville,,440,,2022,"city, county_seat, city_fourth_class",
Kidder,,267,,2022,"city, city_fourth_class",
Kimberling City,,"2,344",,2022,"city, city_fourth_class",
Kimmswick,,133,,2022,"city, city_fourth_class",
King City,,799,,2022,"city, city_fourth_class",
Kingdom City,,134,,2022,"city, village",
Kingston,,290,,2022,"city, county_seat, city_fourth_class",
Kingsville,,245,,2022,"city, city_fourth_class",
Kinloch,,263,,2022,"city, city_fourth_class",
Kirbyville,,195,,2022,"city, village",
Kirksville,,"17,530",,2022,"city, county_seat, city_third_class",
Kirkwood,,"29,461",,2022,"city, home_rule_city",
Kissee Mills,,"1,023",,2022,"city, census_designated_place",
Knob Lick,,147,,2022,"city, census_designated_place",
Knob Noster,,"2,782",,2022,"city, city_fourth_class",
Knox,,"3,744",,2022,"county, county_third_class_wo_township_form",
Knox City,,191,,2022,"city, city_fourth_class",
Koshkonong,,196,,2022,"city, city_fourth_class",
La Belle,,664,,2022,"city, city_fourth_class",
La Due,,27,,2022,"city, village",
La Grange,,825,,2022,"city, special_charter_city",
La Monte,,"1,014",,2022,"city, city_fourth_class",
La Plata,,"1,257",,2022,"city, city_fourth_class",
La Russell,,134,,2022,"city, village",
La Tour,,65,,2022,"city, census_designated_place",
LaBarque Creek,,"1,658",,2022,"city, census_designated_place",
Laclede,,305,,2022,"city, city_fourth_class",
Laclede,,"36,039",,2022,"county, county_third_class_wo_township_form",
Laddonia,,502,,2022,"city, city_fourth_class",
Ladue,,"8,989",,2022,"city, city_fourth_class",
Lafayette,,"32,984",,2022,"county, county_fourth_class",
Lake Annette,,107,,2022,"city, city_fourth_class",
Lake Arrowhead,,363,,2022,"city, census_designated_place",
Lake Lafayette,,277,,2022,"city, city_fourth_class",
Lake Lotawana,,"2,310",,2022,"city, city_fourth_class",
Lake Mykee,,350,,2011,city,
Lake Mykee Town,,,,2011,city,
Lake Ozark,,"2,077",,2022,"city, city_fourth_class",
Lake St. Clair,,825,,2022,"city, census_designated_place",
Lake St. Louis,,"16,707",,2022,"city, city_fourth_class",
Lake Tapawingo,,794,,2022,"city, city_fourth_class",
Lake Tekakwitha,,230,,2022,"city, village",
Lake Timberline,,726,,2022,"city, census_designated_place",
Lake Viking,,486,,2022,"city, census_designated_place",
Lake Waukomis,,888,,2022,"city, city_fourth_class",
Lake Winnebago,,"1,433",,2022,"city, city_fourth_class",
Lakeshire,,"1,554",,2022,"city, city_fourth_class",
Lakeside,,,,2022,"city, city_fourth_class",
Lamar,,"4,266",,2022,"city, county_seat, city_fourth_class",
Lamar Heights,,170,,2022,"city, city_fourth_class",
Lambert,,48,,2022,"city, village",
Lanagan,,373,,2022,"city, city_fourth_class",
Lancaster,,675,,2022,"city, county_seat, city_fourth_class",
Laredo,,156,,2022,"city, city_fourth_class",
Latham,,69,,2022,"city, census_designated_place",
Lathrop,,"2,271",,2022,"city, city_fourth_class",
LaTour,,,,2011,city,
Laurie,,939,,2022,"city, city_fourth_class",
Lawrence,,"38,001",,2022,"county, county_third_class_wo_township_form",
Lawson,,"2,541",,2022,"city, city_fourth_class",
Leadington,,764,,2022,"city, city_fourth_class",
Leadwood,,"1,178",,2022,"city, city_fourth_class",
Leasburg,,326,,2022,"city, village",
Leawood,,620,,2022,"city, village",
Lebanon,,"15,013",,2022,"city, county_seat, city_third_class",
Lee's Summit,,"101,108",,2022,"city, home_rule_city",
Leeton,,532,,2022,"city, city_fourth_class",
Leisure Lake,,166,,2022,"city, census_designated_place",
Lemay,,"17,117",,2022,"city, census_designated_place",
Leonard,,57,,2022,"city, village",
Leslie,,136,,2022,"city, village",
Levasy,,77,,2022,"city, city_fourth_class",
Lewis,,"10,032",,2022,"county, county_third_class_wo_township_form",
Lewis and Clark,,132,,2011,"city, village",
Lewis and Clark Village,,96,,2022,"city, village",
Lewistown,,521,,2022,"city, city_fourth_class",
Lexington,,"4,652",,2022,"city, county_seat, city_third_class",
Liberal,,629,,2022,"city, city_fourth_class",
Liberty,,"30,167",,2022,"city, county_seat, special_charter_city",
Licking,,"2,851",,2022,"city, city_fourth_class",
Lilbourn,,994,,2022,"city, city_fourth_class",
Lincoln,,"1,144",,2022,"city, city_fourth_class",
Lincoln,,"59,574",,2022,"county, county_second_class",
Linn,,"1,350",,2022,"city, county_seat, city_fourth_class",
Linn,,"11,874",,2022,"county, county_third_class_w_township_form",
Linn Creek,,216,,2022,"city, city_fourth_class",
Linneus,,281,,2022,"city, county_seat, city_fourth_class",
Lithium,,92,,2022,"city, census_designated_place",
Livingston,,"14,557",,2022,"county, county_third_class_w_township_form",
Livonia,,52,,2022,"city, village",
Loch Lloyd,,863,,2022,"city, village",
Lock Springs,,40,,2022,"city, village",
Lockwood,,846,,2022,"city, city_fourth_class",
Lohman,,175,,2022,"city, city_fourth_class",
Loma Linda,,943,,2022,"city, village",
Lone Jack,,"1,492",,2022,"city, city_fourth_class",
Long,,,,2011,city,
Longtown,,90,,2022,"city, village",
Louisburg,,134,,2022,"city, village",
Louisiana,,"3,199",,2022,"city, city_third_class",
Lowry City,,613,,2022,"city, city_fourth_class",
Lucerne,,57,,2022,"city, village",
Ludlow,,111,,2022,"city, village",
Lupus,,28,,2022,"city, city_fourth_class",
Luray,,73,,2022,"city, village",
Mackenzie,,134,,2011,city,
MacKenzie,,,,2011,city,
Macks Creek,,365,,2022,"city, census_designated_place",
Macon,,"5,457",,2022,"city, county_seat, city_third_class",
Macon,,"15,209",,2022,"county, county_third_class_wo_township_form",
Madison,,515,,2022,"city, city_fourth_class",
Madison,,"12,626",,2022,"county, county_third_class_wo_township_form",
Maitland,,276,,2022,"city, city_fourth_class",
Malden,,"3,706",,2022,"city, city_third_class",
Malta Bend,,187,,2022,"city, city_fourth_class",
Manchester,,"18,333",,2022,"city, city_fourth_class",
Mansfield,,"1,193",,2022,"city, city_fourth_class",
Maplewood,,"8,269",,2022,"city, home_rule_city",
Marble Hill,,"1,388",,2022,"city, county_seat, city_fourth_class",
Marceline,,"2,123",,2022,"city, city_third_class",
Maries,,"8,432",,2022,"county, county_third_class_wo_township_form",
Marion,,"28,525",,2022,"county, county_third_class_wo_township_form",
Marionville,,"2,054",,2022,"city, city_fourth_class",
Marlborough,,"2,221",,2022,"city, village",
Marquand,,186,,2022,"city, city_fourth_class",
Marshall,,"13,806",,2022,"city, county_seat, city_third_class",
Marshfield,,"7,458",,2022,"city, county_seat, city_fourth_class",
Marston,,397,,2022,"city, city_fourth_class",
Marthasville,,"1,245",,2022,"city, city_fourth_class",
Martinsburg,,251,,2022,"city, city_fourth_class",
Maryland Heights,,"28,284",,2022,"city, city_third_class",
Maryville,,"10,633",,2022,"city, county_seat, city_third_class",
Matthews,,534,,2022,"city, city_fourth_class",
Maysville,,"1,095",,2022,"city, county_seat, city_fourth_class",
Mayview,,208,,2022,"city, city_fourth_class",
McBaine,,17,,2022,"city, village",
McCord Bend,,212,,2022,"city, village",
McDonald,,"23,303",,2022,"county, county_third_class_wo_township_form",
McFall,,119,,2022,"city, village",
McKittrick,,77,,2022,"city, city_fourth_class",
Meadville,,415,,2022,"city, city_fourth_class",
Medill,,82,,2022,"city, census_designated_place",
Mehlville,,"28,955",,2022,"city, census_designated_place",
Memphis,,"1,731",,2022,"city, county_seat, city_fourth_class",
Mendon,,163,,2022,"city, city_fourth_class",
Mercer,,263,,2022,"city, city_fourth_class",
Mercer,,"3,538",,2022,"county, county_third_class_w_township_form",
Merriam Woods,,"2,006",,2022,"city, city_fourth_class",
Merwin,,69,,2022,"city, village",
Meta,,180,,2022,"city, city_fourth_class",
Metz,,22,,2022,"city, village",
Mexico,,"11,469",,2022,"city, county_seat, city_third_class",
Miami,,152,,2022,"city, special_charter_city",
Middle Grove,,57,,2022,"city, census_designated_place",
Middletown,,171,,2022,"city, city_fourth_class",
Milan,,"1,819",,2022,"city, county_seat, city_fourth_class",
Milford,,24,,2022,"city, village",
Mill Spring,,159,,2022,"city, village",
Millard,,79,,2022,"city, village",
Miller,,704,,2022,"city, city_fourth_class",
Miller,,"24,722",,2022,"county, county_third_class_wo_township_form",
Millersville,,240,,2022,"city, census_designated_place",
Milo,,57,,2022,"city, village",
Mindenmines,,271,,2022,"city, city_fourth_class",
Mine La Motte,,364,,2022,"city, census_designated_place",
Miner,,916,,2022,"city, city_fourth_class",
Mineral Point,,231,,2022,"city, village",
Miramiguoa Park,,126,,2022,"city, village",
Mississippi,,"12,577",,2022,"county, county_third_class_wo_township_form",
Missouri City,,217,,2022,"city, city_fourth_class",
Moberly,,"13,783",,2022,"city, city_third_class",
Mokane,,188,,2022,"city, city_fourth_class",
Moline Acres,,"2,156",,2022,"city, city_fourth_class",
Monett,,"9,576",,2022,"city, city_third_class",
Moniteau,,"15,473",,2022,"county, county_third_class_wo_township_form",
Monroe,,"8,666",,2022,"county, county_third_class_wo_township_form",
Monroe City,,"2,652",,2022,"city, city_fourth_class",
Montgomery,,"11,322",,2022,"county, county_third_class_w_township_form",
Montgomery City,,"2,811",,2022,"city, county_seat, city_fourth_class",
Monticello,,104,,2022,"city, county_seat, village",
Montier,,49,,2022,"city, census_designated_place",
Montreal,,119,,2022,"city, census_designated_place",
Montrose,,383,,2022,"city, city_fourth_class",
Mooresville,,98,,2022,"city, village",
Morehouse,,741,,2022,"city, city_fourth_class",
Morgan,,"21,006",,2022,"county, county_third_class_wo_township_form",
Morley,,630,,2022,"city, city_fourth_class",
Morrison,,93,,2022,"city, city_fourth_class",
Morrisville,,376,,2022,"city, city_fourth_class",
Mosby,,101,,2022,"city, city_fourth_class",
Moscow Mills,,"3,317",,2022,"city, city_fourth_class",
Mound City,,"1,004",,2022,"city, city_fourth_class",
Moundville,,78,,2022,"city, village",
Mount Leonard,,65,,2022,"city, village",
Mount Moriah,,75,,2022,"city, village",
Mount Vernon,,"4,526",,2022,"city, county_seat, city_fourth_class",
Mountain Grove,,"4,313",,2022,"city, city_fourth_class",
Mountain View,,"2,533",,2022,"city, city_fourth_class",
Mt. Vernon,,"4,575",,2011,"city, county_seat, city_fourth_class",
Murphy,,"8,425",,2022,"city, census_designated_place",
Napoleon,,211,,2022,"city, city_fourth_class",
Naylor,,440,,2022,"city, city_fourth_class",
Neck City,,228,,2022,"city, city_fourth_class",
Neelyville,,318,,2022,"city, city_fourth_class",
Nelson,,152,,2022,"city, city_fourth_class",
Neosho,,"12,590",,2022,"city, county_seat, home_rule_city",
Nevada,,"8,212",,2022,"city, county_seat, home_rule_city",
New Bloomfield,,687,,2022,"city, city_fourth_class",
New Cambria,,153,,2022,"city, city_fourth_class",
New Florence,,641,,2022,"city, city_fourth_class",
New Franklin,,"1,027",,2022,"city, city_fourth_class",
New Hamburg,,218,,2022,"city, census_designated_place",
New Hampton,,228,,2022,"city, city_fourth_class",
New Haven,,"2,414",,2022,"city, city_fourth_class",
New London,,943,,2022,"city, county_seat, city_fourth_class",
New Madrid,,"2,787",,2022,"city, county_seat, city_fourth_class",
New Madrid,,"16,434",,2022,"county, county_third_class_wo_township_form",
New Market,,88,,2022,"city, census_designated_place",
New Melle,,541,,2022,"city, city_fourth_class",
New Wells,,40,,2022,"city, census_designated_place",
Newark,,54,,2022,"city, village",
Newburg,,333,,2022,"city, city_fourth_class",
Newton,,"58,648",,2022,"county, county_second_class",
Newtonia,,204,,2022,"city, village",
Newtown,,113,,2022,"city, city_fourth_class",
Niangua,,390,,2022,"city, city_fourth_class",
Nixa,,"23,257",,2022,"city, home_rule_city",
Nodaway,,"21,241",,2022,"county, county_third_class_w_township_form",
Noel,,"2,124",,2022,"city, city_fourth_class",
Norborne,,634,,2022,"city, city_fourth_class",
Normandy,,"4,287",,2022,"city, city_third_class",
North Kansas City,,"4,467",,2022,"city, city_third_class",
North Lilbourn,,22,,2022,"city, village",
North Wardell,,,,2011,city,
Northmoor,,291,,2022,"city, city_fourth_class",
Northwoods,,"3,687",,2022,"city, city_fourth_class",
Norwood,,578,,2022,"city, city_fourth_class",
Norwood Court,,890,,2022,"city, village",
Novelty,,102,,2022,"city, city_fourth_class",
Novinger,,383,,2022,"city, city_fourth_class",
Oak Grove,,"8,157",,2022,"city, city_fourth_class",
Oak Grove Village,,412,,2022,"city, village",
Oak Ridge,,237,,2022,"city, village",
Oakland,,"1,390",,2022,"city, city_fourth_class",
Oaks,,128,,2022,"city, village",
Oakview,,366,,2022,"city, village",
Oakville,,"36,301",,2022,"city, census_designated_place",
Oakwood,,198,,2022,"city, village",
Oakwood Park,,189,,2022,"city, village",
Odessa,,"5,593",,2022,"city, city_fourth_class",
O'Fallon,,"91,316",,2022,"city, home_rule_city",
Old Appleton,,73,,2022,"city, village",
Old Jamestown,,"19,790",,2022,"city, census_designated_place",
Old Monroe,,249,,2022,"city, city_fourth_class",
Olean,,114,,2022,"city, village",
Olivette,,"8,504",,2022,"city, home_rule_city",
Olympian Village,,719,,2022,"city, city_fourth_class",
Oran,,"1,195",,2022,"city, city_fourth_class",
Oregon,,837,,2022,"city, county_seat, city_fourth_class",
Oregon,,"8,635",,2022,"county, county_third_class_wo_township_form",
Oronogo,,"2,558",,2022,"city, city_fourth_class",
Orrick,,753,,2022,"city, city_fourth_class",
Osage,,"13,274",,2022,"county, county_third_class_wo_township_form",
Osage Beach,,"4,637",,2022,"city, city_fourth_class",
Osborn,,374,,2022,"city, city_fourth_class",
Osceola,,909,,2022,"city, county_seat, city_fourth_class",
Osgood,,24,,2022,"city, village",
Otterville,,440,,2022,"city, city_fourth_class",
Overland,,"15,955",,2022,"city, city_third_class",
Owensville,,"2,757",,2022,"city, city_fourth_class",
Oxly,,62,,2022,"city, census_designated_place",
Ozark,,"8,553",,2022,"county, county_third_class_wo_township_form",
Ozark,,"21,284",,2022,"city, county_seat, city_fourth_class",
Ozora,,182,,2022,"city, census_designated_place",
Pacific,,"7,414",,2022,"city, city_fourth_class",
Pagedale,,"2,554",,2022,"city, city_fourth_class",
Palmyra,,"3,613",,2022,"city, county_seat, home_rule_city",
Paradise,,75,,2022,"city, census_designated_place",
Paris,,"1,161",,2022,"city, county_seat, city_fourth_class",
Park Hills,,"8,587",,2022,"city, city_third_class",
Parkdale,,159,,2022,"city, village",
Parkville,,"7,117",,2022,"city, city_fourth_class",
Parkway,,663,,2022,"city, village",
Parma,,555,,2022,"city, city_fourth_class",
Parnell,,135,,2022,"city, city_fourth_class",
Pasadena Hills,,912,,2022,"city, city_fourth_class",
Pasadena Park,,435,,2022,"city, village",
Pascola,,87,,2022,"city, village",
Passaic,,26,,2022,"city, village",
Pattonsburg,,314,,2022,"city, city_fourth_class",
Paynesville,,60,,2022,"city, village",
Peaceful Village,,95,,2022,"city, village",
Peculiar,,"5,621",,2022,"city, city_fourth_class",
Pemiscot,,"15,661",,2022,"county, county_third_class_wo_township_form",
Pendleton,,34,,2022,"city, village",
Penermon,,51,,2022,"city, village",
Perkins,,123,,2022,"city, census_designated_place",
Perry,,665,,2022,"city, city_fourth_class",
Perry,,"18,956",,2022,"county, county_third_class_wo_township_form",
Perryville,,"8,555",,2022,"city, county_seat, city_fourth_class",
Pettis,,"42,980",,2022,"county, county_fourth_class",
Pevely,,"6,026",,2022,"city, city_fourth_class",
Phelps,,"44,638",,2022,"county, county_third_class_wo_township_form",
Phelps City,,,,2022,"city, village",
Philadelphia,,206,,2022,"city, census_designated_place",
Phillipsburg,,164,,2022,"city, village",
Pickering,,149,,2022,"city, city_fourth_class",
Piedmont,,"1,897",,2022,"city, city_fourth_class",
Pierce City,,"1,251",,2022,"city, city_fourth_class",
Pierpont,,64,,2022,"city, village",
Pike,,"17,587",,2022,"county, county_third_class_wo_township_form",
Pilot Grove,,665,,2022,"city, city_fourth_class",
Pilot Knob,,671,,2022,"city, city_fourth_class",
Pine Lawn,,"2,754",,2022,"city, city_fourth_class",
Pineville,,802,,2022,"city, county_seat, city_fourth_class",
Pinhook,,6,,2022,"city, village",
Plato,,82,,2022,"city, village",
Platte,,"106,718",,2022,"county, county_first_class",
Platte City,,"4,784",,2022,"city, county_seat, city_fourth_class",
Platte Woods,,394,,2022,"city, city_fourth_class",
Plattsburg,,"2,222",,2022,"city, county_seat, city_fourth_class",
Pleasant Hill,,"8,777",,2022,"city, special_charter_city",
Pleasant Hope,,657,,2022,"city, city_fourth_class",
Pleasant Valley,,"2,743",,2022,"city, city_fourth_class",
Plevna,,7,,2022,"city, census_designated_place",
Pocahontas,,97,,2022,"city, village",
Polk,,"31,519",,2022,"county, county_third_class_wo_township_form",
Pollock,,46,,2022,"city, village",
Polo,,509,,2022,"city, city_fourth_class",
Pomona,,440,,2022,"city, census_designated_place",
Pontiac,,123,,2022,"city, census_designated_place",
Poplar Bluff,,"16,225",,2022,"city, county_seat, city_third_class",
Portage Des Sioux,,335,,2022,"city, city_fourth_class",
Portageville,,"2,942",,2022,"city, city_fourth_class",
Potosi,,"2,538",,2022,"city, county_seat, city_fourth_class",
Powersville,,42,,2022,"city, city_fourth_class",
Prairie Hill,,50,,2022,"city, census_designated_place",
Prairie Home,,262,,2022,"city, city_fourth_class",
Prathersville,,121,,2022,"city, village",
Preston,,157,,2022,"city, village",
Princeton,,"1,007",,2022,"city, county_seat, city_fourth_class",
Pulaski,,"53,955",,2022,"county, county_third_class_wo_township_form",
Purcell,,318,,2022,"city, city_fourth_class",
Purdin,,141,,2022,"city, city_fourth_class",
Purdy,,"1,031",,2022,"city, city_fourth_class",
Putnam,,"4,681",,2022,"county, county_third_class_w_township_form",
Puxico,,873,,2022,"city, city_fourth_class",
Queen City,,562,,2022,"city, city_fourth_class",
Quitman,,42,,2022,"city, census_designated_place",
Qulin,,460,,2022,"city, city_fourth_class",
Raintree Plantation,,"1,996",,2022,"city, census_designated_place",
Ralls,,"10,355",,2022,"county, county_third_class_wo_township_form",
Randolph,,57,,2022,"city, city_fourth_class",
Randolph,,"24,716",,2022,"county, county_third_class_wo_township_form",
Ravanna,,60,,2022,"city, census_designated_place",
Ravenwood,,439,,2022,"city, city_fourth_class",
Ray,,"23,158",,2022,"county, county_third_class_wo_township_form",
Raymondville,,345,,2022,"city, village",
Raymore,,"22,941",,2022,"city, home_rule_city",
Raytown,,"30,012",,2022,"city, city_fourth_class",
Rayville,,157,,2022,"city, census_designated_place",
Rea,,46,,2022,"city, village",
Redings Mill,,164,,2022,"city, village",
Reeds,,91,,2022,"city, village",
Reeds Spring,,"1,136",,2022,"city, city_fourth_class",
Renick,,154,,2022,"city, village",
Rensselaer,,253,,2022,"city, village",
Rensselear,,,,2011,city,
Republic,,"18,750",,2022,"city, home_rule_city",
Revere,,76,,2022,"city, city_fourth_class",
Reynolds,,"6,096",,2022,"county, county_third_class_wo_township_form",
Rhineland,,139,,2022,"city, village",
Rich Hill,,"1,232",,2022,"city, city_fourth_class",
Richards,,43,,2022,"city, village",
Richland,,"1,734",,2022,"city, city_fourth_class",
Richmond,,"6,013",,2022,"city, county_seat, city_third_class",
Richmond Heights,,"9,286",,2022,"city, home_rule_city",
Ridgely,,95,,2022,"city, village",
Ridgeway,,372,,2022,"city, city_fourth_class",
Ripley,,"10,679",,2022,"county, county_third_class_wo_township_form",
Risco,,286,,2022,"city, city_fourth_class",
Ritchey,,66,,2022,"city, village",
River Bend,,3,,2022,"city, village",
Riverside,,"4,013",,2022,"city, city_fourth_class",
Riverview,,"2,397",,2022,"city, village",
Riverview Estates,,78,,2022,"city, village",
Rives,,42,,2022,"city, village",
Rocheport,,201,,2022,"city, city_fourth_class",
Rock Hill,,"4,750",,2022,"city, city_fourth_class",
Rock Port,,"1,278",,2022,"city, county_seat, city_fourth_class",
Rockaway Beach,,829,,2022,"city, city_fourth_class",
Rockville,,135,,2022,"city, city_fourth_class",
Rocky Comfort,,176,,2022,"city, census_designated_place",
Rogersville,,"3,897",,2022,"city, city_fourth_class",
Rolla,,"19,943",,2022,"city, county_seat, city_third_class",
Roscoe,,89,,2022,"city, village",
Rosebud,,390,,2022,"city, city_fourth_class",
Rosendale,,119,,2022,"city, city_fourth_class",
Rothville,,63,,2022,"city, village",
Rueter,,,,2011,city,
Rush Hill,,103,,2022,"city, village",
Rushville,,225,,2022,"city, village",
Russellville,,778,,2022,"city, city_fourth_class",
Rutledge,,86,,2022,"city, village",
Saddlebrooke,,309,,2022,"city, village",
Saginaw,,300,,2022,"city, village",
Salem,,"4,608",,2022,"city, county_seat, city_fourth_class",
Saline,,"23,333",,2022,"county, county_fourth_class",
Salisbury,,"1,563",,2022,"city, city_fourth_class",
Sappington,,"7,995",,2022,"city, census_designated_place",
Sarcoxie,,"1,406",,2022,"city, city_fourth_class",
Savannah,,"5,069",,2022,"city, county_seat, city_fourth_class",
Saverton,,213,,2022,"city, census_designated_place",
Schell City,,228,,2022,"city, city_fourth_class",
Schuyler,,"4,032",,2022,"county, county_third_class_wo_township_form",
Scotland,,"4,716",,2022,"county, county_third_class_wo_township_form",
Scotsdale,,194,,2022,"city, village",
Scott,,"38,059",,2022,"county, county_third_class_wo_township_form",
Scott City,,"4,346",,2022,"city, city_third_class",
Sedalia,,"21,725",,2022,"city, county_seat, city_third_class",
Sedgewickville,,191,,2022,"city, village",
Seligman,,813,,2022,"city, city_fourth_class",
Senath,,"1,593",,2022,"city, city_fourth_class",
Seneca,,"2,230",,2022,"city, city_fourth_class",
Seymour,,"1,841",,2022,"city, city_fourth_class",
Shakertowne,,625,,2022,"city, census_designated_place",
Shannon,,"7,031",,2022,"county, county_third_class_wo_township_form",
Shawneetown,,132,,2022,"city, census_designated_place",
Shelbina,,"1,613",,2022,"city, city_fourth_class",
Shelby,,"6,103",,2022,"county, county_third_class_wo_township_form",
Shelbyville,,518,,2022,"city, county_seat, city_fourth_class",
Sheldon,,435,,2022,"city, city_fourth_class",
Shell Knob,,"1,254",,2022,"city, census_designated_place",
Sheridan,,145,,2022,"city, city_fourth_class",
Shoal Creek Drive,,356,,2022,"city, village",
Shoal Creek Estates,,107,,2022,"city, village",
Shrewsbury,,"6,406",,2022,"city, city_fourth_class",
Sibley,,314,,2022,"city, village",
Sikeston,,"16,291",,2022,"city, home_rule_city",
Silex,,24,,2022,"city, village",
Silver Creek,,623,,2011,city,
Skidmore,,245,,2022,"city, city_fourth_class",
Slater,,"1,834",,2022,"city, city_third_class",
Smithton,,506,,2022,"city, city_fourth_class",
Smithville,,"10,406",,2022,"city, city_fourth_class",
South Fork,,212,,2022,"city, census_designated_place",
South Gifford,,22,,2022,"city, village",
South Gorin,,62,,2022,"city, city_fourth_class",
South Greenfield,,122,,2022,"city, village",
South Lineville,,13,,2022,"city, village",
South West City,,,,2011,city,
Southwest City,,922,,2022,"city, city_fourth_class",
Spanish Lake,,"18,413",,2022,"city, census_designated_place",
Sparta,,"1,876",,2022,"city, city_fourth_class",
Spickard,,222,,2022,"city, city_fourth_class",
Spokane,,491,,2022,"city, census_designated_place",
Springfield,,"169,176",,2022,"city, county_seat, home_rule_city",
St. Ann,,"13,019",,2022,"city, city_fourth_class",
St. Catharine,,78,,2022,"city, census_designated_place",
St. Charles,,"70,493",,2022,"city, county_seat, home_rule_city",
St. Charles,,"405,262",,2022,"county, county_w_charter",
St. Clair,,"4,791",,2022,"city, city_fourth_class",
St. Clair,,"9,284",,2022,"county, county_third_class_wo_township_form",
St. Clement,,76,,2022,"city, census_designated_place",
St. Cloud,,43,,2022,"city, village",
St. Elizabeth,,418,,2022,"city, village",
St. Francisville,,137,,2022,"city, census_designated_place",
St. Francois,,"66,922",,2022,"county, county_first_class",
St. George,,"1,553",,2022,"city, census_designated_place",
St. James,,"3,935",,2022,"city, city_third_class",
St. John,,"6,643",,2022,"city, home_rule_city",
St. Joseph,,"72,473",,2022,"city, county_seat, home_rule_city",
St. Louis,,"1,004,125",,2022,"county, county_w_charter",
St. Louis City,,"301,578",,2022,"city, county_seat, city_not_within_a_county",
St. Louis City,,"301,578",,2022,county,
St. Martins,,"1,191",,2022,"city, city_fourth_class",
St. Mary,,309,,2022,"city, city_fourth_class",
St. Paul,,"3,005",,2022,"city, city_fourth_class",
St. Peters,,"57,732",,2022,"city, city_fourth_class",
St. Robert,,"5,192",,2022,"city, city_fourth_class",
St. Thomas,,222,,2022,"city, city_fourth_class",
Stanberry,,"1,129",,2022,"city, city_fourth_class",
Stanton,,366,,2022,"city, census_designated_place",
Stark City,,125,,2022,"city, village",
Ste. Genevieve,,"4,999",,2022,"city, county_seat, city_fourth_class",
Ste. Genevieve,,"18,479",,2022,"county, county_third_class_wo_township_form",
Steele,,"1,853",,2022,"city, city_fourth_class",
Steelville,,"1,472",,2022,"city, county_seat, city_fourth_class",
Stella,,166,,2022,"city, village",
Stewartsville,,733,,2022,"city, city_fourth_class",
Stockton,,"1,683",,2022,"city, county_seat, city_fourth_class",
Stoddard,,"28,672",,2022,"county, county_third_class_w_township_form",
Stone,,"31,076",,2022,"county, county_third_class_wo_township_form",
Stotesbury,,12,,2022,"city, village",
Stotts City,,167,,2022,"city, city_fourth_class",
Stoutland,,209,,2022,"city, city_fourth_class",
Stoutsville,,37,,2022,"city, village",
Stover,,"1,006",,2022,"city, city_fourth_class",
Strafford,,"2,561",,2022,"city, city_fourth_class",
Strasburg,,107,,2022,"city, city_fourth_class",
Sturgeon,,907,,2022,"city, city_fourth_class",
Sugar Creek,,"3,271",,2022,"city, city_fourth_class",
Sullivan,,"5,999",,2022,"county, county_third_class_wo_township_form",
Sullivan,,"6,906",,2022,"city, city_fourth_class",
Summer Set,,"1,127",,2022,"city, census_designated_place",
Summersville,,453,,2022,"city, city_fourth_class",
Sumner,,78,,2022,"city, city_fourth_class",
Sundown,,62,,2022,"city, census_designated_place",
Sunrise Beach,,431,,2022,"city, village",
Sunset Hills,,"9,198",,2022,"city, city_fourth_class",
Sweet Springs,,"1,316",,2022,"city, city_fourth_class",
Sycamore Hills,,561,,2022,"city, village",
Syracuse,,151,,2022,"city, city_fourth_class",
Table Rock,,,,2011,city,
Tallapoosa,,78,,2022,"city, village",
Taney,,"56,066",,2022,"county, county_first_class",
Taneyville,,274,,2022,"city, village",
Taos,,"1,150",,2022,"city, city_fourth_class",
Tarkio,,"1,506",,2022,"city, city_fourth_class",
Tarrants,,22,,2022,"city, village",
Tarsney Lakes,,250,,2022,"city, census_designated_place",
Tebbetts,,64,,2022,"city, census_designated_place",
Terre du Lac,,"2,478",,2022,"city, census_designated_place",
Texas,,"24,487",,2022,"county, county_third_class_w_township_form",
Thayer,,"1,883",,2022,"city, city_fourth_class",
Theodosia,,188,,2022,"city, village",
Thomasville,,23,,2022,"city, census_designated_place",
Three Creeks,,8,,2022,"city, village",
Tightwad,,58,,2022,"city, village",
Tina,,139,,2022,"city, village",
Tindall,,46,,2022,"city, city_fourth_class",
Tipton,,"2,920",,2022,"city, city_fourth_class",
Town and Country,,"11,640",,2022,"city, city_fourth_class",
Tracy,,269,,2022,"city, city_fourth_class",
Trenton,,"5,609",,2022,"city, county_seat, city_third_class",
