Name,County,Class,Population,
Chain of Rocks,Lincoln,Village,97,
Chain-O-Lakes,Barry,Village,106,
Chamois,Osage,4th,377,
Champ,St. Louis,Village,10,
Charlack,St. Louis,4th,1304,
Charleston,Mississippi,3rd,5056,
Charmwood,Franklin,NA,17,
Cherokee Pass,Madison,CDP,271,
Chesapeake,Lawrence,CDP,48,
Chesterfield,St. Louis,3rd,49999,
Chilhowee,Johnson,4th,291,
Chillicothe,Livingston,Special Charter,9107,
Chula,Livingston,4th,195,
City of Bellerive Acres,St. Louis,4th,191,
Clarence,Shelby,4th,738,
Clark,Randolph,4th,254,
Clarksburg,Moniteau,4th,254,
Clarksdale,DeKalb,4th,245,
Clarkson Valley,St. Louis,4th,2609,
Clarksville,Pike,4th,372,
Clarkton,Dunklin,4th,1009,
Claycomo,Clay,Village,1343,
Clayton,St. Louis,Home Rule,17355,
Clearmont,Nodaway,4th,158,
Cleveland,Cass,4th,650,
Clever,Christian,4th,2918,
Cliff Village,Newton,Village,40,
Clifton Hill,Randolph,4th,88,
Climax Springs,Camden,CDP,118,
Clinton,Henry,3rd,9174,
Clyde,Nodaway,Village,55,
Cobalt,Madison,Village,264,
Coffey,Daviess,4th,151,
Cole Camp,Benton,4th,1104,
Collins,St. Clair,Village,125,
Columbia,Boone,Home Rule,126254,
Commerce,Scott,4th,45,
Conception,Nodaway,CDP,111,
Conception Junction,Nodaway,3rd,175,
Concord,St. Louis,CDP,17668,
Concordia,Lafayette,4th,2371,
Coney Island,Stone,Village,47,
Connelsville,Adair,CDP,53,
Conway,Laclede,4th,729,
Cool Valley,St. Louis,4th,1039,
Cooter,Pemiscot,4th,343,
Corder,Lafayette,4th,418,
Corning,Holt,Village,3,
Cosby,Andrew,Village,114,
Cottleville,St. Charles,4th,5611,
Country Club,Andrew,Village,2487,
Country Club Hills,St. Louis,4th,1014,
Country Life Acres,St. Louis,Village,72,
Cowgill,Caldwell,4th,168,
Craig,Holt,4th,105,
Crane,Stone,4th,1495,
Creighton,Cass,4th,327,
Crestwood,St. Louis,Home Rule,12404,
Creve Coeur,St. Louis,Home Rule,18834,
Crocker,Pulaski,4th,929,
Cross Timbers,Hickory,4th,119,
Crystal City,Jefferson,3rd,4740,
Crystal Lake Park,St. Louis,4th,508,
Crystal Lakes,Ray,4th,390,
Cuba,Crawford,4th,3181,
Curryville,Pike,4th,197,
Dadeville,Dade,Village,226,
Dalton,Chariton,Village,7,
Danville,Montgomery,CDP,28,
Dardenne Prairie,St. Charles,4th,12743,
Darlington,Gentry,4th,66,
Dawn,Livingston,CDP,100,
DeKalb,Buchanan,4th,233,
De Soto,Jefferson,3rd,6449,
De Witt,Carroll,4th,83,
Dearborn,Platte,4th,482,
Deepwater,Henry,4th,355,
Deering,Pemiscot,CDP,61,
Deerfield,Vernon,Village,40,
Defiance,St. Charles,CDP,159,
Dellwood,St. Louis,4th,4914,
Delta,Cape Girardeau,4th,376,
Dennis Acres,Newton,Village,47,
Denton,Pemiscot,CDP,82,
Denver,Worth,Village,32,
Des Arc,Iron,4th,131,
Des Peres,St. Louis,4th,9193,
Desloge,St. Francois,4th,4823,
Dexter,Stoddard,4th,7927,
Diamond,Newton,4th,831,
Diehlstadt,Scott,Village,157,
Diggins,Webster,Village,305,
Dixon,Pulaski,4th,1232,
Doe Run,St. Francois,CDP,737,
Doniphan,Ripley,4th,1781,
Doolittle,Phelps,4th,564,
Dover,Lafayette,Village,83,
Downing,Schuyler,4th,300,
Drexel,Bates/Cass,4th,968,
Dudley,Stoddard,4th,101,
Duenweg,Jasper,4th,1495,
Dunlap,Grundy,Village,0,
Duquesne,Jasper,4th,2159,
Dutchtown,Cape Girardeau,CDP,163,
Eagle Rock,Barry,CDP,193,
Eagleville,Harrison,Village,275,
East Fenway,Lewis,Village,0,
East Lynne,Cass,4th,294,
East Prairie,Mississippi,4th,2943,
Easton,Buchanan,4th,227,
Edgar Springs,Phelps,4th,199,
Edgerton,Platte,4th,601,
Edina,Knox,4th,1012,
Edinburg,Grundy,CDP,84,
Edmundson,St. Louis,4th,860,
El Dorado Springs,Cedar,3rd,3493,
Eldon,Miller,4th,4416,
Ellington,Reynolds,4th,790,
Ellisville,St. Louis,Home Rule,9985,
Ellsinore,Carter,4th,416,
Elmer,Macon,4th,51,
Elmira,Ray,Village,39,
Elmo,Nodaway,4th,114,
Elsberry,Lincoln,4th,1937,
Emerald Beach,Barry,Village,212,
Eminence,Shannon,4th,515,
Emma,"Lafayette, Saline",4th,201,
Eolia,Pike,Village,472,
Essex,Stoddard,4th,403,
Ethel,Macon,4th,41,
Eureka,St. Louis,4th,11646,
Evergreen,Laclede,Village,20,
Everton,Dade,4th,273,
Ewing,Lewis,4th,406,
Excello,Macon,CDP,61,
Excelsior Estates,"Clay, Ray",4th,209,
Excelsior Springs,"Clay, Ray",3rd,10553,
Exeter,Barry,4th,733,
Fair Grove,Greene,4th,1582,
Fair Play,Polk,4th,422,
Fairdealing,"Butler, Ripley",CDP,543,
Fairfax,Atchison,4th,648,
Fairview,Newton,4th,419,
Farber,Audrain,4th,255,
Farley,Platte,Village,265,
Farmington,St. Francois,3rd,18217,
Faucett,Buchanan,CDP,248,
Fayette,Howard,4th,2803,
Fenton,St. Louis,4th,3989,
Fenway Landing,Lewis,Village,0,
Ferguson,St. Louis,Home Rule,18527,
Ferrelview,Platte,Village,642,
Festus,Jefferson,3rd,12706,
Fidelity,Jasper,Village,227,
Fillmore,Andrew,4th,173,
Fisk,Butler,4th,312,
Fleming,Ray,4th,114,
Flemington,Polk,Village,110,
Flint Hill,St. Charles,4th,981,
Flordell Hills,St. Louis,4th,724,
Florida,Monroe,NA,5,
Florissant,St. Louis,Home Rule,52533,
Foley,Lincoln,4th,89,
Fordland,Webster,4th,778,
Forest City,Holt,4th,243,
Foristell,"St. Charles, Warren",4th,550,
Forsyth,Taney,4th,2730,
Fort Leonard Wood,Pulaski,CDP,15959,
Fortuna,Monitau,CDP,130,
Fortescue,Holt,Village,21,
Foster,Bates,Village,76,
Fountain N  Lakes,Lincoln,Village,169,
Frankclay,St. Francois,CDP,194,
Frankford,Pike,4th,343,
Franklin,Howard,4th,70,
Fredericktown,Madison,4th,4429,
Freeburg,Osage,Village,409,
Freeman,Cass,4th,475,
Freistatt,Lawrence,Village,179,
Fremont,Carter,CDP,43,
Fremont Hills,Christian,4th,1049,
Friedenswald,Camden,Village,4,
Frisbee,Dunklin,CDP,107,
Frohna,Perry,4th,245,
Frontenac,St. Louis,4th,3612,
Fulton,Callaway,Home Rule,12600,
Gainesville,Ozark,4th,745,
