Name,County,Class,Population,
Piedmont,Wayne,4th,1897,
Pierce City,Lawrence,4th,1251,
Pierpont,Boone,Village,64,
Pilot Grove,Cooper,4th,665,
Pilot Knob,Iron,4th,671,
Pine Lawn,St. Louis,4th,2754,
Pineville,McDonald,4th,802,
Pinhook,Mississippi,Village,6,
Plato,Texas,Village,82,
Platte City,Platte,4th,4784,
Platte Woods,Platte,4th,394,
Plattsburg,Clinton,4th,2222,
Pleasant Hill,"Cass, Jackson",Special Charter,8777,
Pleasant Hope,Polk,4th,657,
Pleasant Valley,Clay,4th,2743,
Plevna,Knox,CDP,7,
Pocahontas,Cape Girardeau,Village,97,
Pollock,Sullivan,Village,46,
Polo,Caldwell,4th,509,
Pomona,Howell,CDP,440,
Pontiac,Ozark,CDP,123,
Poplar Bluff,Butler,3rd,16225,
Portage Des Sioux,St. Charles,4th,335,
Portageville,New Madrid,4th,2942,
Potosi,Washington,4th,2538,
Powersville,Putnam,4th,42,
Prairie Hill,Chariton,CDP,50,
Prairie Home,Cooper,4th,262,
Prathersville,Clay,Village,121,
Preston,Hickory,Village,157,
Princeton,Mercer,4th,1007,
Purcell,Jasper,4th,318,
Purdin,Linn,4th,141,
Purdy,Barry,4th,1031,
Puxico,Stoddard,4th,873,
Queen City,Schuyler,4th,562,
Quitman,Nodaway,CDP,42,
Qulin,Butler,4th,460,
Raintree Plantation,Jefferson,CDP,1996,
Randolph,Clay,4th,57,
Ravanna,Mercer,CDP,60,
Ravenwood,Nodaway,4th,439,
Raymondville,Texas,Village,345,
Raymore,Cass,Home Rule,22941,
Raytown,Jackson,4th,30012,
Rayville,Ray,CDP,157,
Rea,Andrew,Village,46,
Redings Mill,Newton,Village,164,
Reeds,Jasper,Village,91,
Reeds Spring,Stone,4th,1136,
Renick,Randolph,Village,154,
Rensselaer,Ralls,Village,253,
Republic,"Christian, Greene",Home Rule,18750,
Revere,Clark,4th,76,
Rhineland,Montgomery,Village,139,
Rich Hill,Bates,4th,1232,
Richards,Vernon,Village,43,
Richland,"Camden, Laclede, Pulaski",4th,1734,
Richmond,Ray,3rd,6013,
Richmond Heights,St. Louis,Home Rule,9286,
Ridgely,Platte,Village,95,
Ridgeway,Harrison,4th,372,
Risco,New Madrid,4th,286,
Ritchey,Newton,Village,66,
River Bend,Jackson,Village,3,
Riverside,Platte,4th,4013,
Riverview,St. Louis,Village,2397,
Riverview Estates,Cass,Village,78,
Rives,Dunklin,Village,42,
Rocheport,Boone,4th,201,
Rock Hill,St. Louis,4th,4750,
Rock Port,Atchison,4th,1278,
Rockaway Beach,Taney,4th,829,
Rockville,Bates,4th,135,
Rocky Comfort,McDonald,CDP,176,
Rogersville,"Greene, Webster",4th,3897,
Rolla,Phelps,3rd,19943,
Roscoe,St. Clair,Village,89,
Rosebud,Gasconade,4th,390,
Rosendale,Andrew,4th,119,
Rothville,Chariton,Village,63,
Rush Hill,Audrain,Village,103,
Rushville,Buchanan,Village,225,
Russellville,Cole,4th,778,
Rutledge,Scotland,Village,86,
Saddlebrooke,"Christian, Taney",Village,309,
Saginaw,Newton,Village,300,
Salem,Dent,4th,4608,
Salisbury,Chariton,4th,1563,
Sappington,St. Louis,CDP,7995,
Sarcoxie,Jasper,4th,1406,
Savannah,Andrew,4th,5069,
Saverton,Ralls,CDP,213,
Schell City,Vernon,4th,228,
Scotsdale,Jefferson,Village,194,
Scott City,Scott,3rd,4346,
Sedalia,Pettis,3rd,21725,
Sedgewickville,Bollinger,Village,191,
Seligman,Barry,4th,813,
Senath,Dunklin,4th,1593,
Seneca,Newton,4th,2230,
Seymour,Webster,4th,1841,
Shakertowne,Perry,CDP,625,
Shawneetown,Cape Girardeau,CDP,132,
Shelbina,Shelby,4th,1613,
Shelbyville,Shelby,4th,518,
Sheldon,Vernon,4th,435,
Shell Knob,"Barry, Stone",CDP,1254,
Sheridan,Worth,4th,145,
Shoal Creek Drive,Newton,Village,356,
Shoal Creek Estates,Newton,Village,107,
Shrewsbury,St. Louis,4th,6406,
Sibley,Jackson,Village,314,
Sikeston,"New Madrid, Scott",Home Rule,16291,
Silex,Lincoln,4th,24,
Skidmore,Nodaway,4th,245,
Slater,Saline,3rd,1834,
Smithton,Pettis,4th,506,
Smithville,"Clay, Platte",4th,10406,
South Fork,Howell,CDP,212,
South Gifford,Macon,Village,22,
South Gorin,Scotland,4th,62,
South Greenfield,Dade,Village,122,
South Lineville,Mercer,Village,13,
Southwest City,McDonald,4th,922,
Spanish Lake,St. Louis,CDP,18413,
Sparta,Christian,4th,1876,
Spickard,Grundy,4th,222,
Spokane,Christian,CDP,491,
Springfield,"Christian, Greene",Home Rule,169176,
St. Ann,St. Louis,4th,13019,
St. Catharine,Linn,CDP,78,
St. Charles,St. Charles,Home Rule,70493,
St. Clair,Franklin,4th,4791,
St. Clement,Pike,CDP,76,
St. Cloud,Crawford,Village,43,
St. Elizabeth,Miller,Village,418,
St. Francisville,Clark,CDP,137,
St. George,St. Louis,CDP,1553,
St. James,Phelps,3rd,3935,
St. John,St. Louis,Home Rule,6643,
St. Joseph,Buchanan,Home Rule,72473,
St. Louis,NA,Home Rule,301578,
St. Martins,Cole,4th,1191,
St. Mary,Ste. Genevieve,4th,309,
St. Paul,St. Charles,4th,3005,
St. Peters,St. Charles,4th,57732,
St. Robert,Pulaski,4th,5192,
St. Thomas,Cole,4th,222,
Ste. Genevieve,Ste. Genevieve,4th,4999,
Stanberry,Gentry,4th,1129,
Stanton,Franklin,CDP,366,
Stark City,Newton,Village,125,
Steele,Pemiscot,4th,1853,
Steelville,Crawford,4th,1472,
Stella,Newton,Village,166,
Stewartsville,DeKalb,4th,733,
Stockton,Cedar,4th,1683,
Stotesbury,Vernon,Village,12,
Stotts City,Lawrence,4th,167,
Stoutland,"Camden, Laclede",4th,209,
Stoutsville,Monroe,Village,37,
Stover,Morgan,4th,1006,
Strafford,Greene,4th,2561,
Strasburg,Cass,4th,107,
Sturgeon,Boone,4th,907,
Sugar Creek,Jackson,4th,3271,
Sullivan,"Crawford, Franklin",4th,6906,
Summer Set,Jackson,CDP,1127,
Summersville,"Shannon, Texas",4th,453,
Sumner,Chariton,4th,78,
Sundown,Ozark,CDP,62,
Sunrise Beach,"Camden, Morgan",Village,431,
Sunset Hills,St. Louis,4th,9198,
Sweet Springs,Saline,4th,1316,
Sycamore Hills,St. Louis,Village,561,
Syracuse,Morgan,4th,151,
Tallapoosa,New Madrid,Village,78,
Taneyville,Taney,Village,274,
Taos,Cole,4th,1150,
Tarkio,Atchison,4th,1506,
Tarrants,Pike,Village,22,
Tarsney Lakes,Lakes,CDP,250,
Tebbets,Callaway,CDP,64,
Terre du Lac,Oregon,CDP,2478,
Thayer,Oregon,4th,1883,
Theodosia,Ozark,Village,188,
Thomasville,Oregon,CDP,23,
Three Creeks,Warren,Village,8,
Tightwad,Henry,Village,58,
Tina,Carroll,Village,139,
Tindall,Grundy,4th,46,
Tipton,Moniteau,4th,2920,
Town and Country,St. Louis,4th,11640,
Tracy,Platte,4th,269,
Trenton,Grundy,3rd,5609,
Trimble,Clinton,4th,573,
Triplett,Chariton,4th,33,
Troy,Lincoln,4th,12686,
Truesdale,Warren,4th,853,
Truxton,Lincoln,Village,59,
Turney,Clinton,Village,114,
Tuscumbia,Miller,Village,188,
Twin Oaks,St. Louis,4th,605,
Umber View Heights,Cedar,Village,41,
Union,Franklin,4th,12348,
Union Star,DeKalb,4th,380,
Unionville,Putnam,4th,1735,
Unity Village,Jackson,Village,66,
University City,St. Louis,Home Rule,35065,
Uplands Park,St. Louis,Village,312,
Urbana,Dallas,4th,387,
Urich,Henry,4th,463,
Utica,Livingston,Village,222,
Valley Park,St. Louis,4th,6885,
Van Buren,Carter,4th,747,
Vandalia,Audrain,4th,3553,
Vandiver,Audrain,Village,63,
Vanduser,Scott,Village,183,
Velda City,St. Louis,4th,1188,
Velda Village Hills,St. Louis,Village,881,
Verona,Lawrence,4th,507,
Versailles,Morgan,4th,2539,
Vibbard,Ray,CDP,215,
Viburnum,Iron,4th,667,
Vienna,Maries,4th,581,
Villa Ridge,Franklin,CDP,2601,
Village of Four Seasons,Camden,Village,2383,
Vinita Park,St. Louis,4th,1970,
Vista,St. Clair,Village,36,
Waco,Jasper,4th,72,
Walker,Vernon,4th,199,
Walnut Grove,Greene,4th,652,
Wardell,Pemiscot,4th,310,
Wardsville,Cole,Village,1599,
Warrensburg,Johnson,3rd,19337,
Warrenton,Warren,4th,8429,
Warsaw,Benton,4th,2209,
Warson Woods,St. Louis,4th,2018,
Washburn,Barry,4th,407,
Washington,Franklin,3rd,14500,
Wasola,Ozark,CDP,115,
Watson,Atchison,Village,61,
Waverly,Lafayette,4th,784,
Wayland,Clark,4th,408,
Waynesville,Pulaski,3rd,5406,
Weatherby,DeKalb,Village,80,
Weatherby Lake,Platte,4th,2077,
Weaubleau,Hickory,4th,378,
Webb City,Jasper,3rd,13031,
Webster Groves,St. Louis,Home Rule,24010,
Weingarten,Ste. Genevieve,CDP,127,
Weldon Spring,St. Charles,4th,5326,
Weldon Spring Heights,St. Charles,Village,93,
Wellington,Lafayette,4th,738,
Wellston,St. Louis,3rd,1537,
Wellsville,Montgomery,4th,998,
Wentworth,Newton,Village,98,
Wentzville,St. Charles,4th,44372,
West Alton,St. Charles,Village,359,
West Line,Cass,Village,117,
West Plains,Howell,3rd,12184,
West Sullivan,Crawford,Village,285,
Westboro,Atchison,4th,116,
Weston,Platte,4th,1756,
Westphalia,Osage,4th,378,
Westwood,St. Louis,Village,316,
Wheatland,Hickory,4th,277,
Wheaton,Barry,4th,672,
Wheeling,Livingston,4th,220,
White Branch,Benton,CDP,301,
Whiteman AFB,Johnson,CDP,2896,
White Oak,Dunklin,CDP,101,
Whiteside,Lincoln,Village,52,
Whitewater,Cape Girardeau,Village,88,
Whiting,Mississippi,CDP,155,
Wilbur Park,St. Louis,Village,439,
Wildwood,St. Louis,Home Rule,35417,
Willard,Greene,4th,6344,
Williamstown,Lewis,CDP,60,
Williamsville,Wayne,4th,279,
Willow Springs,Howell,4th,2164,
Wilson City,Mississippi,Village,77,
Winchester,St. Louis,4th,1447,
Windsor,"Henry, Pettis",4th,2775,
Windsor Place,Cooper,Village,358,
Winfield,Lincoln,4th,1518,
Winigan,Sullivan,CDP,37,
Winona,Shannon,4th,950,
Winston,Daviess,Village,229,
Wood Heights,Ray,4th,757,
Woodson Terrace,St. Louis,4th,3950,
Wooldridge,Cooper,Village,28,
Worth,Worth,Village,65,
Wortham,St. Francois,CDP,197,
Worthington,Putnam,Village,47,
Wright City,Warren,4th,4881,
Wyaconda,Clark,4th,214,
Wyatt,Mississippi,4th,219,
Zalma,Bollinger,CDP,73,
