Name,Type,Population,Class,CountySeat
Cabool,city,1946,city fourth class,Texas
Cainsville,city,283,city fourth class,Harrison
Cairo,city,205,village,Randolph
Caldwell,county,8815,county third class with township,Kingston
Caledonia,city,131,village,Washington
Calhoun,city,392,city fourth class,Henry
California,city,4498,city fourth class,Moniteau
Callao,city,251,city fourth class,Macon
Callaway,county,44283,county second class,Fulton
Calverton Park,city,1143,village,St. Louis
Camden,city,175,city fourth class,Ray
Camden,county,42745,county first class,Camdenton
Camden Point,city,457,city fourth class,Platte
Camdenton,city,3960,city fourth class,Camden
Cameron,city,8513,city third class,"Clinton, DeKalb"
Campbell,city,1605,city fourth class,Dunklin
Canalou,city,158,city fourth class,New Madrid
Canton,city,2774,city fourth class,Lewis
Cape Girardeau,city,39540,city home rule,Cape Girardeau
Cape Girardeau,county,81710,county first class,Jackson
Cardwell,city,561,city fourth class,Dunklin
Carl Junction,city,8143,city fourth class,Jasper
Carroll,county,8495,county third class with township,Carrollton
Carrollton,city,3514,city special charter,Carroll
Carter,county,5202,county third class without township,Van Buren
Carterville,city,1855,city third class,Jasper
Carthage,city,15522,city home rule,Jasper
Caruthersville,city,5562,city third class,Pemiscot
Carytown,city,287,village,Jasper
Cass,county,107824,county first class,Harrisonville
Cassville,city,3190,city fourth class,Barry
Castle Point,city,2815,census designated place,St. Louis
Catron,city,41,city fourth class,New Madrid
Cave,city,0,NA,Lincoln
Cedar,county,14188,county third class without township,Stockton
Cedar Hill,city,1875,census designated place,Jefferson
Cedar Hill Lakes,city,203,village,Jefferson
Center,city,528,city fourth class,Ralls
Centertown,city,284,village,Cole
Centerview,city,189,city fourth class,Johnson
Centerville,city,167,city fourth class,Reynolds
Centralia,city,4541,city fourth class,Boone
Chaffee,city,3057,city third class,Scott
Chain of Rocks,city,97,village,Lincoln
Chain-O-Lakes,city,106,village,Barry
Chamois,city,377,city fourth class,Osage
Champ,city,10,village,St. Louis
Chariton,county,7408,county third class with township,Keytesville
Charlack,city,1304,city fourth class,St. Louis
Charleston,city,5056,city third class,Mississippi
Charmwood,city,17,NA,Franklin
Cherokee Pass,city,271,census designated place,Madison
Chesapeake,city,48,census designated place,Lawrence
Chesterfield,city,49999,city third class,St. Louis
Chilhowee,city,291,city fourth class,Johnson
Chillicothe,city,9107,city special charter,Livingston
Christian,county,88842,county first class,Ozark
Chula,city,195,city fourth class,Livingston
City of Bellerive Acres,city,191,city fourth class,St. Louis
Clarence,city,738,city fourth class,Shelby
Clark,city,254,city fourth class,Randolph
Clark,county,6634,county third class without township,Kahoka
Clarksburg,city,254,city fourth class,Moniteau
Clarksdale,city,245,city fourth class,DeKalb
Clarkson Valley,city,2609,city fourth class,St. Louis
Clarksville,city,372,city fourth class,Pike
Clarkton,city,1009,city fourth class,Dunklin
Clay,county,253335,county charter,Liberty
Claycomo,city,1343,village,Clay
Clayton,city,17355,city home rule,St. Louis
Clearmont,city,158,city fourth class,Nodaway
Cleveland,city,650,city fourth class,Cass
Clever,city,2918,city fourth class,Christian
Cliff Village,city,40,village,Newton
Clifton Hill,city,88,city fourth class,Randolph
Climax Springs,city,118,census designated place,Camden
