Name,Type,Population,Class,CountySeat
Marble Hill,city,1388,city fourth class,Bollinger
Marceline,city,2123,city third class,"Chariton, Linn"
Maries,county,8432,county third class without township,Vienna
Marion,county,28525,county third class without township,Palmyra
Marionville,city,2054,city fourth class,Lawrence
Marlborough,city,2221,village,St. Louis
Marquand,city,186,city fourth class,Madison
Marshall,city,13806,city third class,Saline
Marshfield,city,7458,city fourth class,Webster
Marston,city,397,city fourth class,New Madrid
Marthasville,city,1245,city fourth class,Warren
Martinsburg,city,251,city fourth class,Audrain
Martinsville,city,0,village,Harrison
Maryland Heights,city,28284,city third class,St. Louis
Maryville,city,10633,city third class,Nodaway
Matthews,city,534,city fourth class,New Madrid
Maysville,city,1095,city fourth class,DeKalb
Mayview,city,208,city fourth class,Lafayette
McBaine,city,17,village,Boone
McCord Bend,city,212,village,Stone
McDonald,county,23303,county third class without township,Pineville
McFall,city,119,village,Gentry
McKittrick,city,77,city fourth class,Montgomery
Meadville,city,415,city fourth class,Linn
Medill,city,82,census designated place,Clark
Mehlville,city,28955,census designated place,St. Louis
Memphis,city,1731,city fourth class,Scotland
Mendon,city,163,city fourth class,Chariton
Mercer,city,263,city fourth class,Mercer
Mercer,county,3538,county third class with township,Princeton
Merriam Woods,city,2006,city fourth class,Taney
Merwin,city,69,village,Bates
Meta,city,180,city fourth class,Osage
Metz,city,22,village,Vernon
Mexico,city,11469,city third class,Audrain
Miami,city,152,city special charter,Saline
Middle Grove,city,57,census designated place,Monroe
Middletown,city,171,city fourth class,Montgomery
Milan,city,1819,city fourth class,Sullivan
Milford,city,24,village,Barton
Mill Spring,city,159,village,Wayne
Millard,city,79,village,Adair
Miller,city,704,city fourth class,Lawrence
Miller,county,24722,county third class without township,Tuscumbia
Millersville,city,240,census designated place,Cape Girardeau
Milo,city,57,village,Vernon
Mindenmines,city,271,city fourth class,Barton
Mine La Motte,city,364,census designated place,Madison
Miner,city,916,city fourth class,Scott
Mineral Point,city,231,village,Washington
Miramiguoa Park,city,126,village,Franklin
Mississippi,county,12577,county third class without township,Charleston
Missouri City,city,217,city fourth class,Clay
Moberly,city,13783,city third class,Randolph
Mokane,city,188,city fourth class,Callaway
Moline Acres,city,2156,city fourth class,St. Louis
Monett,city,9576,city third class,"Barry, Lawrence"
Moniteau,county,15473,county third class without township,California
Monroe,county,8666,county third class without township,Paris
Monroe City,city,2652,city fourth class,"Marion, Monroe, Ralls"
Montgomery,county,11322,county third class without township,Montgomery City
Montgomery City,city,2811,city fourth class,Montgomery
Monticello,city,104,village,Lewis
Montier,city,49,census designated place,Shannon
Montreal,city,119,census designated place,Camden
Montrose,city,383,city fourth class,Henry
Mooresville,city,98,village,Livingston
Morehouse,city,741,city fourth class,New Madrid
Morgan,county,21006,county third class without township,Versailles
Morley,city,630,city fourth class,Scott
Morrison,city,93,city fourth class,Gasconade
Morrisville,city,376,city fourth class,Polk
Mosby,city,101,city fourth class,Clay
Moscow Mills,city,3317,city fourth class,Lincoln
Mound City,city,1004,city fourth class,Holt
Moundville,city,78,village,Vernon
Mount Leonard,city,65,village,Saline
Mount Moriah,city,75,village,Harrison
Mount Vernon,city,4526,city fourth class,Lawrence
Mountain Grove,city,4313,city fourth class,Texas/Wright
Mountain View,city,2533,city fourth class,Howell
Murphy,city,8425,census designated place,Jefferson
Napoleon,city,211,city fourth class,Lafayette
Naylor,city,440,city fourth class,Ripley
Neck City,city,228,city fourth class,Jasper
Neelyville,city,318,city fourth class,Butler
Nelson,city,152,city fourth class,Saline
Neosho,city,12590,city home rule,Newton
Nevada,city,8212,city home rule,Vernon
New Bloomfield,city,687,city fourth class,Callaway
New Cambria,city,153,city fourth class,Macon
New Florence,city,641,city fourth class,Montgomery
New Franklin,city,1027,city fourth class,Howard
New Hamburg,city,218,census designated place,Scott
New Hampton,city,228,city fourth class,Harrison
New Haven,city,2414,city fourth class,Franklin
New London,city,943,city fourth class,Ralls
New Madrid,city,2787,city fourth class,New Madrid
New Madrid,county,16434,county third class without township,New Madrid
New Market,city,88,census designated place,Platte
New Melle,city,541,city fourth class,St. Charles
New Wells,city,40,census designated place,Perry
Newark,city,54,village,Knox
Newburg,city,333,city fourth class,Phelps
Newton,county,58648,county second class,Neosho
Newtonia,city,204,village,Newton
Newtown,city,113,city fourth class,Sullivan
Niangua,city,390,city fourth class,Webster
Nixa,city,23257,city home rule,Christian
Nodaway,county,21241,county third class with township,Maryville
Noel,city,2124,city fourth class,McDonald
Norborne,city,634,city fourth class,Carroll
Normandy,city,4287,city third class,St. Louis
North Kansas City,city,4467,city third class,Clay
North Lilbourn,city,22,village,New Madrid
Northmoor,city,291,city fourth class,Platte
Northwoods,city,3687,city fourth class,St. Louis
Norwood,city,578,city fourth class,Wright
Norwood Court,city,890,village,St. Louis
Novelty,city,102,city fourth class,Knox
Novinger,city,383,city fourth class,Adair
O Fallon,city,91316,city home rule,St. Charles
Oak Grove,city,8157,city fourth class,"Jackson, Lafayette"
Oak Grove Village,city,412,village,Franklin
Oak Ridge,city,237,village,Cape Girardeau
Oakland,city,1390,city fourth class,St. Louis
Oaks,city,128,village,Clay
Oakview,city,366,village,Clay
Oakville,city,36301,census designated place,St. Louis
Oakwood,city,198,village,Clay
Oakwood Park,city,189,village,Clay
Odessa,city,5593,city fourth class,Lafayette
Old Appleton,city,73,village,Cape Girardeau
Old Jamestown,city,19790,census designated place,St. Louis
Old Monroe,city,249,city fourth class,Lincoln
Olean,city,114,village,Miller
Olivette,city,8504,city home rule,St. Louis
Olympian Village,city,719,city fourth class,Jefferson
Oran,city,1195,city fourth class,Scott
Oregon,city,837,city fourth class,Holt
Oregon,county,8635,county third class without township,Alton
Oronogo,city,2558,city fourth class,Jasper
Orrick,city,753,city fourth class,Ray
Osage,county,13274,county third class without township,Linn
Osage Beach,city,4637,city fourth class,"Camden, Miller"
Osborn,city,374,city fourth class,"Clinton, DeKalb"
Osceola,city,909,city fourth class,St. Clair
Osgood,city,24,village,Sullivan
Otterville,city,440,city fourth class,Cooper
Overland,city,15955,city third class,St. Louis
Owensville,city,2757,city fourth class,Gasconade
Oxly,city,62,census designated place,Ripley
Ozark,city,21284,city fourth class,Christian
Ozark,county,8553,county third class without township,Gainesville
Ozora,city,182,census designated place,Ste. Genevieve
Pacific,city,7414,city fourth class,"Franklin, St. Louis"
Pagedale,city,2554,city fourth class,St. Louis
Palmyra,city,3613,city home rule,Marion
Paradise,city,75,census designated place,Clay
Paris,city,1161,city fourth class,Monroe
Park Hills,city,8587,city third class,St. Francois
Parkdale,city,159,village,Jefferson
Parkville,city,7117,city fourth class,Platte
Parkway,city,663,village,Franklin
Parma,city,555,city fourth class,New Madrid
Parnell,city,135,city fourth class,Nodaway
Pasadena Hills,city,912,city fourth class,St. Louis
Pasadena Park,city,435,village,St. Louis
Pascola,city,87,village,Pemiscot
Passaic,city,26,village,Bates
Pattonsburg,city,314,city fourth class,Daviess
Paynesville,city,60,village,Pike
Peaceful Village,city,95,village,Jefferson
Peculiar,city,5621,city fourth class,Cass
Pemiscot,county,15661,county third class without township,Caruthersville
Pendleton,city,34,village,Warren
Penermon,city,51,village,Stoddard
Perkins,city,123,census designated place,Scott
Perry,city,665,city fourth class,Ralls
Perry,county,18956,county third class without township,Perryville
Perryville,city,8555,city fourth class,Perry
Pettis,county,42980,county fourth class,Sedalia
Pevely,city,6026,city fourth class,Jefferson
Phelps,county,44638,county third class without township,Rolla
Philadelphia,city,206,census designated place,Marion
Phillipsburg,city,164,village,Laclede
Pickering,city,149,city fourth class,Nodaway
Piedmont,city,1897,city fourth class,Wayne
Pierce City,city,1251,city fourth class,Lawrence
Pierpont,city,64,village,Boone
Pike,county,17587,county third class without township,Bowling Green
Pilot Grove,city,665,city fourth class,Cooper
Pilot Knob,city,671,city fourth class,Iron
Pine Lawn,city,2754,city fourth class,St. Louis
Pineville,city,802,city fourth class,McDonald
Pinhook,city,6,village,Mississippi
Plato,city,82,village,Texas
Platte,county,106718,county first class,Platte City
Platte City,city,4784,city fourth class,Platte
Platte Woods,city,394,city fourth class,Platte
Plattsburg,city,2222,city fourth class,Clinton
Pleasant Hill,city,8777,city special charter,"Cass, Jackson"
Pleasant Hope,city,657,city fourth class,Polk
Pleasant Valley,city,2743,city fourth class,Clay
Plevna,city,7,census designated place,Knox
Pocahontas,city,97,village,Cape Girardeau
Polk,county,31519,county third class without township,Bolivar
Pollock,city,46,village,Sullivan
Polo,city,509,city fourth class,Caldwell
Pomona,city,440,census designated place,Howell
Pontiac,city,123,census designated place,Ozark
Poplar Bluff,city,16225,city third class,Butler
Portage Des Sioux,city,335,city fourth class,St. Charles
Portageville,city,2942,city fourth class,New Madrid
Potosi,city,2538,city fourth class,Washington
Powersville,city,42,city fourth class,Putnam
Prairie Hill,city,50,census designated place,Chariton
Prairie Home,city,262,city fourth class,Cooper
Prathersville,city,121,village,Clay
Preston,city,157,village,Hickory
Princeton,city,1007,city fourth class,Mercer
Pulaski,county,53955,county third class without township,Waynesville
Purcell,city,318,city fourth class,Jasper
Purdin,city,141,city fourth class,Linn
Purdy,city,1031,city fourth class,Barry
Putnam,county,4681,county third class with township,Unionville
Puxico,city,873,city fourth class,Stoddard
Queen City,city,562,city fourth class,Schuyler
Quitman,city,42,census designated place,Nodaway
Qulin,city,460,city fourth class,Butler
Raintree Plantation,city,1996,census designated place,Jefferson
Ralls,county,10355,county third class without township,New London
Randolph,city,57,city fourth class,Clay
Randolph,county,24716,county third class without township,Huntsville
Ravanna,city,60,census designated place,Mercer
Ravenwood,city,439,city fourth class,Nodaway
Ray,county,23158,county third class without township,Richmond
Raymondville,city,345,village,Texas
Raymore,city,22941,city home rule,Cass
Raytown,city,30012,city fourth class,Jackson
Rayville,city,157,census designated place,Ray
Rea,city,46,village,Andrew
Redings Mill,city,164,village,Newton
Reeds,city,91,village,Jasper
Reeds Spring,city,1136,city fourth class,Stone
Renick,city,154,village,Randolph
Rensselaer,city,253,village,Ralls
Republic,city,18750,city home rule,"Christian, Greene"
Revere,city,76,city fourth class,Clark
Reynolds,county,6096,county third class without township,Centerville
Rhineland,city,139,village,Montgomery
Rich Hill,city,1232,city fourth class,Bates
Richards,city,43,village,Vernon
Richland,city,1734,city fourth class,"Camden, Laclede, Pulaski"
Richmond,city,6013,city third class,Ray
Richmond Heights,city,9286,city home rule,St. Louis
Ridgely,city,95,village,Platte
Ridgeway,city,372,city fourth class,Harrison
Ripley,county,10679,county third class without township,Doniphan
Risco,city,286,city fourth class,New Madrid
Ritchey,city,66,village,Newton
River Bend,city,3,village,Jackson
Riverside,city,4013,city fourth class,Platte
Riverview,city,2397,village,St. Louis
Riverview Estates,city,78,village,Cass
Rives,city,42,village,Dunklin
Rocheport,city,201,city fourth class,Boone
Rock Hill,city,4750,city fourth class,St. Louis
Rock Port,city,1278,city fourth class,Atchison
Rockaway Beach,city,829,city fourth class,Taney
Rockville,city,135,city fourth class,Bates
Rocky Comfort,city,176,census designated place,McDonald
Rogersville,city,3897,city fourth class,"Greene, Webster"
Rolla,city,19943,city third class,Phelps
Roscoe,city,89,village,St. Clair
Rosebud,city,390,city fourth class,Gasconade
Rosendale,city,119,city fourth class,Andrew
Rothville,city,63,village,Chariton
Rush Hill,city,103,village,Audrain
Rushville,city,225,village,Buchanan
Russellville,city,778,city fourth class,Cole
Rutledge,city,86,village,Scotland
Saddlebrooke,city,309,village,"Christian, Taney"
Saginaw,city,300,village,Newton
Salem,city,4608,city fourth class,Dent
Saline,county,23333,county fourth class,Marshall
Salisbury,city,1563,city fourth class,Chariton
Sappington,city,7995,census designated place,St. Louis
Sarcoxie,city,1406,city fourth class,Jasper
Savannah,city,5069,city fourth class,Andrew
Saverton,city,213,census designated place,Ralls
Schell City,city,228,city fourth class,Vernon
Schuyler,county,4032,county third class without township,Lancaster
Scotland,county,4716,county third class without township,Memphis
Scotsdale,city,194,village,Jefferson
Scott,county,38059,county third class without township,Benton
Scott City,city,4346,city third class,Scott
Sedalia,city,21725,city third class,Pettis
Sedgewickville,city,191,village,Bollinger
Seligman,city,813,city fourth class,Barry
Senath,city,1593,city fourth class,Dunklin
Seneca,city,2230,city fourth class,Newton
Seymour,city,1841,city fourth class,Webster
Shakertowne,city,625,census designated place,Perry
Shannon,county,7031,county third class without township,Eminence
Shawneetown,city,132,census designated place,Cape Girardeau
Shelbina,city,1613,city fourth class,Shelby
Shelby,county,6103,county third class without township,Shelbyville
Shelbyville,city,518,city fourth class,Shelby
Sheldon,city,435,city fourth class,Vernon
Shell Knob,city,1254,census designated place,"Barry, Stone"
Sheridan,city,145,city fourth class,Worth
Shoal Creek Drive,city,356,village,Newton
Shoal Creek Estates,city,107,village,Newton
Shrewsbury,city,6406,city fourth class,St. Louis
Sibley,city,314,village,Jackson
Sikeston,city,16291,city home rule,"New Madrid, Scott"
Silex,city,24,city fourth class,Lincoln
Skidmore,city,245,city fourth class,Nodaway
Slater,city,1834,city third class,Saline
Smithton,city,506,city fourth class,Pettis
Smithville,city,10406,city fourth class,"Clay, Platte"
South Fork,city,212,census designated place,Howell
South Gifford,city,22,village,Macon
South Gorin,city,62,city fourth class,Scotland
South Greenfield,city,122,village,Dade
South Lineville,city,13,village,Mercer
Southwest City,city,922,city fourth class,McDonald
Spanish Lake,city,18413,census designated place,St. Louis
Sparta,city,1876,city fourth class,Christian
Spickard,city,222,city fourth class,Grundy
Spokane,city,491,census designated place,Christian
Springfield,city,169176,city home rule,"Christian, Greene"
St. Ann,city,13019,city fourth class,St. Louis
St. Catharine,city,78,census designated place,Linn
St. Charles,city,70493,city home rule,St. Charles
St. Charles,county,405262,county charter,St. Charles
St. Clair,city,4791,city fourth class,Franklin
St. Clair,county,9284,county third class without township,Osceola
St. Clement,city,76,census designated place,Pike
St. Cloud,city,43,village,Crawford
St. Elizabeth,city,418,village,Miller
St. Francisville,city,137,census designated place,Clark
St. Francois,county,66922,county third class without township,Ste. Genevieve
St. George,city,1553,census designated place,St. Louis
St. James,city,3935,city third class,Phelps
St. John,city,6643,city home rule,St. Louis
St. Joseph,city,72473,city home rule,Buchanan
St. Louis,city,301578,city home rule,NA
St. Louis,county,1004125,county charter,Clayton
St. Louis City,county,301578,city not within a county,St. Louis City
St. Martins,city,1191,city fourth class,Cole
St. Mary,city,309,city fourth class,Ste. Genevieve
St. Paul,city,3005,city fourth class,St. Charles
St. Peters,city,57732,city fourth class,St. Charles
St. Robert,city,5192,city fourth class,Pulaski
St. Thomas,city,222,city fourth class,Cole
Stanberry,city,1129,city fourth class,Gentry
Stanton,city,366,census designated place,Franklin
Stark City,city,125,village,Newton
Ste. Genevieve,city,4999,city fourth class,Ste. Genevieve
Ste. Genevieve,county,18479,county first class,Farmington
Steele,city,1853,city fourth class,Pemiscot
Steelville,city,1472,city fourth class,Crawford
Stella,city,166,village,Newton
Stewartsville,city,733,city fourth class,DeKalb
Stockton,city,1683,city fourth class,Cedar
Stoddard,county,28672,county third class with township,Bloomfield
Stone,county,31076,county third class without township,Galena
Stotesbury,city,12,village,Vernon
Stotts City,city,167,city fourth class,Lawrence
Stoutland,city,209,city fourth class,"Camden, Laclede"
Stoutsville,city,37,village,Monroe
Stover,city,1006,city fourth class,Morgan
Strafford,city,2561,city fourth class,Greene
Strasburg,city,107,city fourth class,Cass
Sturgeon,city,907,city fourth class,Boone
Sugar Creek,city,3271,city fourth class,Jackson
Sullivan,city,6906,city fourth class,"Crawford, Franklin"
Sullivan,county,5999,county third class without township,Milan
Summer Set,city,1127,census designated place,Jackson
Summersville,city,453,city fourth class,"Shannon, Texas"
Sumner,city,78,city fourth class,Chariton
Sundown,city,62,census designated place,Ozark
Sunrise Beach,city,431,village,"Camden, Morgan"
Sunset Hills,city,9198,city fourth class,St. Louis
Sweet Springs,city,1316,city fourth class,Saline
Sycamore Hills,city,561,village,St. Louis
Syracuse,city,151,city fourth class,Morgan
Tallapoosa,city,78,village,New Madrid
Taney,county,56066,county first class,Forsyth
Taneyville,city,274,village,Taney
Taos,city,1150,city fourth class,Cole
Tarkio,city,1506,city fourth class,Atchison
Tarrants,city,22,village,Pike
Tarsney Lakes,city,250,census designated place,Lakes
Tebbets,city,64,census designated place,Callaway
Terre du Lac,city,2478,census designated place,Oregon
Texas,county,24487,county third class with township,Houston
Thayer,city,1883,city fourth class,Oregon
Theodosia,city,188,village,Ozark
Thomasville,city,23,census designated place,Oregon
Three Creeks,city,8,village,Warren
Tightwad,city,58,village,Henry
Tina,city,139,village,Carroll
Tindall,city,46,city fourth class,Grundy
Tipton,city,2920,city fourth class,Moniteau
Town and Country,city,11640,city fourth class,St. Louis
Tracy,city,269,city fourth class,Platte
Trenton,city,5609,city third class,Grundy
Trimble,city,573,city fourth class,Clinton
Triplett,city,33,city fourth class,Chariton
Troy,city,12686,city fourth class,Lincoln
Truesdale,city,853,city fourth class,Warren
Truxton,city,59,village,Lincoln
Turney,city,114,village,Clinton
Tuscumbia,city,188,village,Miller
Twin Oaks,city,605,city fourth class,St. Louis
Umber View Heights,city,41,village,Cedar
Union,city,12348,city fourth class,Franklin
Union Star,city,380,city fourth class,DeKalb
Unionville,city,1735,city fourth class,Putnam
Unity Village,city,66,village,Jackson
University City,city,35065,city home rule,St. Louis
Uplands Park,city,312,village,St. Louis
Urbana,city,387,city fourth class,Dallas
Urich,city,463,city fourth class,Henry
Utica,city,222,village,Livingston
Valley Park,city,6885,city fourth class,St. Louis
Van Buren,city,747,city fourth class,Carter
Vandalia,city,3553,city fourth class,Audrain
Vandiver,city,63,village,Audrain
Vanduser,city,183,village,Scott
Velda City,city,1188,city fourth class,St. Louis
Velda Village Hills,city,881,village,St. Louis
Vernon,county,19707,county third class with township,Nevada
Verona,city,507,city fourth class,Lawrence
Versailles,city,2539,city fourth class,Morgan
Vibbard,city,215,census designated place,Ray
Viburnum,city,667,city fourth class,Iron
Vienna,city,581,city fourth class,Maries
Villa Ridge,city,2601,census designated place,Franklin
Village of Four Seasons,city,2383,village,Camden
Vinita Park,city,1970,city fourth class,St. Louis
Vista,city,36,village,St. Clair
Waco,city,72,city fourth class,Jasper
Walker,city,199,city fourth class,Vernon
Walnut Grove,city,652,city fourth class,Greene
Wardell,city,310,city fourth class,Pemiscot
Wardsville,city,1599,village,Cole
Warren,county,35532,county third class without township,Warrenton
Warrensburg,city,19337,city third class,Johnson
Warrenton,city,8429,city fourth class,Warren
Warsaw,city,2209,city fourth class,Benton
Warson Woods,city,2018,city fourth class,St. Louis
Washburn,city,407,city fourth class,Barry
Washington,city,14500,city third class,Franklin
Washington,county,23514,county third class without township,Potosi
Wasola,city,115,census designated place,Ozark
Watson,city,61,village,Atchison
Waverly,city,784,city fourth class,Lafayette
Wayland,city,408,city fourth class,Clark
Wayne,county,10974,county third class without township,Greenville
Waynesville,city,5406,city third class,Pulaski
Weatherby,city,80,village,DeKalb
Weatherby Lake,city,2077,city fourth class,Platte
Weaubleau,city,378,city fourth class,Hickory
Webb City,city,13031,city third class,Jasper
Webster,county,39085,county third class without township,Marshfield
Webster Groves,city,24010,city home rule,St. Louis
Weingarten,city,127,census designated place,Ste. Genevieve
Weldon Spring,city,5326,city fourth class,St. Charles
Weldon Spring Heights,city,93,village,St. Charles
Wellington,city,738,city fourth class,Lafayette
Wellston,city,1537,city third class,St. Louis
Wellsville,city,998,city fourth class,Montgomery
Wentworth,city,98,village,Newton
Wentzville,city,44372,city fourth class,St. Charles
West Alton,city,359,village,St. Charles
West Line,city,117,village,Cass
West Plains,city,12184,city third class,Howell
West Sullivan,city,285,village,Crawford
Westboro,city,116,city fourth class,Atchison
Weston,city,1756,city fourth class,Platte
Westphalia,city,378,city fourth class,Osage
Westwood,city,316,village,St. Louis
Wheatland,city,277,city fourth class,Hickory
Wheaton,city,672,city fourth class,Barry
Wheeling,city,220,city fourth class,Livingston
White Branch,city,301,census designated place,Benton
White Oak,city,101,census designated place,Dunklin
Whiteman AFB,city,2896,census designated place,Johnson
Whiteside,city,52,village,Lincoln
Whitewater,city,88,village,Cape Girardeau
Whiting,city,155,census designated place,Mississippi
Wilbur Park,city,439,village,St. Louis
Wildwood,city,35417,city home rule,St. Louis
Willard,city,6344,city fourth class,Greene
Williamstown,city,60,census designated place,Lewis
Williamsville,city,279,city fourth class,Wayne
Willow Springs,city,2164,city fourth class,Howell
Wilson City,city,77,village,Mississippi
Winchester,city,1447,city fourth class,St. Louis
Windsor,city,2775,city fourth class,"Henry, Pettis"
Windsor Place,city,358,village,Cooper
Winfield,city,1518,city fourth class,Lincoln
Winigan,city,37,census designated place,Sullivan
Winona,city,950,city fourth class,Shannon
Winston,city,229,village,Daviess
Wood Heights,city,757,city fourth class,Ray
Woodson Terrace,city,3950,city fourth class,St. Louis
Wooldridge,city,28,village,Cooper
Worth,city,65,village,Worth
Worth,county,1973,county third class without township,Grant City
Wortham,city,197,census designated place,St. Francois
Worthington,city,47,village,Putnam
Wright,county,18188,county third class without township,Hartville
Wright City,city,4881,city fourth class,Warren
Wyaconda,city,214,city fourth class,Clark
Wyatt,city,219,city fourth class,Mississippi
Zalma,city,73,census designated place,Bollinger
