Name,Population,Class,County,Seat
Chain of Rocks,97,Village,Lincoln,
Chain-O-Lakes,106,Village,Barry,
Chamois,377,4th,Osage,
Champ,10,Village,St. Louis,
Charlack,1304,4th,St. Louis,
Charleston,5056,3rd,Mississippi,
Charmwood,17,NA,Franklin,
Cherokee Pass,271,CDP,Madison,
Chesapeake,48,CDP,Lawrence,
Chesterfield,49999,3rd,St. Louis,
Chilhowee,291,4th,Johnson,
Chillicothe,9107,Special Charter,Livingston,
Chula,195,4th,Livingston,
City of Bellerive Acres,191,4th,St. Louis,
Clarence,738,4th,Shelby,
Clark,254,4th,Randolph,
Clarksburg,254,4th,Moniteau,
Clarksdale,245,4th,DeKalb,
Clarkson Valley,2609,4th,St. Louis,
Clarksville,372,4th,Pike,
Clarkton,1009,4th,Dunklin,
Claycomo,1343,Village,Clay,
Clayton,17355,Home Rule,St. Louis,
Clearmont,158,4th,Nodaway,
Cleveland,650,4th,Cass,
Clever,2918,4th,Christian,
Cliff Village,40,Village,Newton,
Clifton Hill,88,4th,Randolph,
Climax Springs,118,CDP,Camden,
Clinton,9174,3rd,Henry,
Clyde,55,Village,Nodaway,
Cobalt,264,Village,Madison,
Coffey,151,4th,Daviess,
Cole Camp,1104,4th,Benton,
Collins,125,Village,St. Clair,
Columbia,126254,Home Rule,Boone,
Commerce,45,4th,Scott,
Conception,111,CDP,Nodaway,
Conception Junction,175,3rd,Nodaway,
Concord,17668,CDP,St. Louis,
Concordia,2371,4th,Lafayette,
Coney Island,47,Village,Stone,
Connelsville,53,CDP,Adair,
Conway,729,4th,Laclede,
Cool Valley,1039,4th,St. Louis,
Cooter,343,4th,Pemiscot,
Corder,418,4th,Lafayette,
Corning,3,Village,Holt,
Cosby,114,Village,Andrew,
Cottleville,5611,4th,St. Charles,
Country Club,2487,Village,Andrew,
Country Club Hills,1014,4th,St. Louis,
Country Life Acres,72,Village,St. Louis,
Cowgill,168,4th,Caldwell,
Craig,105,4th,Holt,
Crane,1495,4th,Stone,
Creighton,327,4th,Cass,
Crestwood,12404,Home Rule,St. Louis,
Creve Coeur,18834,Home Rule,St. Louis,
Crocker,929,4th,Pulaski,
Cross Timbers,119,4th,Hickory,
Crystal City,4740,3rd,Jefferson,
Crystal Lake Park,508,4th,St. Louis,
Crystal Lakes,390,4th,Ray,
Cuba,3181,4th,Crawford,
Curryville,197,4th,Pike,
Dadeville,226,Village,Dade,
Dalton,7,Village,Chariton,
Danville,28,CDP,Montgomery,
Dardenne Prairie,12743,4th,St. Charles,
Darlington,66,4th,Gentry,
Dawn,100,CDP,Livingston,
DeKalb,233,4th,Buchanan,
De Soto,6449,3rd,Jefferson,
De Witt,83,4th,Carroll,
Dearborn,482,4th,Platte,
Deepwater,355,4th,Henry,
Deering,61,CDP,Pemiscot,
Deerfield,40,Village,Vernon,
