Name,Population,Class,County,Seat
Paynesville,60,Village,Pike,
Peaceful Village,95,Village,Jefferson,
Peculiar,5621,4th,Cass,
Pendleton,34,Village,Warren,
Penermon,51,Village,Stoddard,
Perkins,123,CDP,Scott,
Perry,665,4th,Ralls,
Perryville,8555,4th,Perry,
Pevely,6026,4th,Jefferson,
Philadelphia,206,CDP,Marion,
Phillipsburg,164,Village,Laclede,
Pickering,149,4th,Nodaway,
Piedmont,1897,4th,Wayne,
Pierce City,1251,4th,Lawrence,
Pierpont,64,Village,Boone,
Pilot Grove,665,4th,Cooper,
Pilot Knob,671,4th,Iron,
Pine Lawn,2754,4th,St. Louis,
Pineville,802,4th,McDonald,
Pinhook,6,Village,Mississippi,
Plato,82,Village,Texas,
Platte City,4784,4th,Platte,
Platte Woods,394,4th,Platte,
Plattsburg,2222,4th,Clinton,
Pleasant Hill,8777,Special Charter,"Cass, Jackson",
Pleasant Hope,657,4th,Polk,
Pleasant Valley,2743,4th,Clay,
Plevna,7,CDP,Knox,
Pocahontas,97,Village,Cape Girardeau,
Pollock,46,Village,Sullivan,
Polo,509,4th,Caldwell,
Pomona,440,CDP,Howell,
Pontiac,123,CDP,Ozark,
Poplar Bluff,16225,3rd,Butler,
Portage Des Sioux,335,4th,St. Charles,
Portageville,2942,4th,New Madrid,
Potosi,2538,4th,Washington,
Powersville,42,4th,Putnam,
Prairie Hill,50,CDP,Chariton,
Prairie Home,262,4th,Cooper,
Prathersville,121,Village,Clay,
Preston,157,Village,Hickory,
Princeton,1007,4th,Mercer,
Purcell,318,4th,Jasper,
Purdin,141,4th,Linn,
Purdy,1031,4th,Barry,
Puxico,873,4th,Stoddard,
Queen City,562,4th,Schuyler,
Quitman,42,CDP,Nodaway,
Qulin,460,4th,Butler,
Raintree Plantation,1996,CDP,Jefferson,
Randolph,57,4th,Clay,
Ravanna,60,CDP,Mercer,
Ravenwood,439,4th,Nodaway,
Raymondville,345,Village,Texas,
Raymore,22941,Home Rule,Cass,
Raytown,30012,4th,Jackson,
Rayville,157,CDP,Ray,
Rea,46,Village,Andrew,
Redings Mill,164,Village,Newton,
Reeds,91,Village,Jasper,
Reeds Spring,1136,4th,Stone,
Renick,154,Village,Randolph,
Rensselaer,253,Village,Ralls,
Republic,18750,Home Rule,"Christian, Greene",
Revere,76,4th,Clark,
Rhineland,139,Village,Montgomery,
Rich Hill,1232,4th,Bates,
Richards,43,Village,Vernon,
Richland,1734,4th,"Camden, Laclede, Pulaski",
Richmond,6013,3rd,Ray,
Richmond Heights,9286,Home Rule,St. Louis,
Ridgely,95,Village,Platte,
Ridgeway,372,4th,Harrison,
Risco,286,4th,New Madrid,
Ritchey,66,Village,Newton,
River Bend,3,Village,Jackson,
Riverside,4013,4th,Platte,
Riverview,2397,Village,St. Louis,
Riverview Estates,78,Village,Cass,
Rives,42,Village,Dunklin,
Rocheport,201,4th,Boone,
Rock Hill,4750,4th,St. Louis,
Rock Port,1278,4th,Atchison,
Rockaway Beach,829,4th,Taney,
Rockville,135,4th,Bates,
Rocky Comfort,176,CDP,McDonald,
Rogersville,3897,4th,"Greene, Webster",
Rolla,19943,3rd,Phelps,
Roscoe,89,Village,St. Clair,
Rosebud,390,4th,Gasconade,
Rosendale,119,4th,Andrew,
Rothville,63,Village,Chariton,
Rush Hill,103,Village,Audrain,
Rushville,225,Village,Buchanan,
Russellville,778,4th,Cole,
Rutledge,86,Village,Scotland,
Saddlebrooke,309,Village,"Christian, Taney",
Saginaw,300,Village,Newton,
Salem,4608,4th,Dent,
Salisbury,1563,4th,Chariton,
Sappington,7995,CDP,St. Louis,
Sarcoxie,1406,4th,Jasper,
Savannah,5069,4th,Andrew,
Saverton,213,CDP,Ralls,
Schell City,228,4th,Vernon,
Scotsdale,194,Village,Jefferson,
Scott City,4346,3rd,Scott,
Sedalia,21725,3rd,Pettis,
Sedgewickville,191,Village,Bollinger,
Seligman,813,4th,Barry,
Senath,1593,4th,Dunklin,
Seneca,2230,4th,Newton,
Seymour,1841,4th,Webster,
Shakertowne,625,CDP,Perry,
Shawneetown,132,CDP,Cape Girardeau,
Shelbina,1613,4th,Shelby,
Shelbyville,518,4th,Shelby,
Sheldon,435,4th,Vernon,
Shell Knob,1254,CDP,"Barry, Stone",
Sheridan,145,4th,Worth,
Shoal Creek Drive,356,Village,Newton,
Shoal Creek Estates,107,Village,Newton,
Shrewsbury,6406,4th,St. Louis,
Sibley,314,Village,Jackson,
Sikeston,16291,Home Rule,"New Madrid, Scott",
Silex,24,4th,Lincoln,
Skidmore,245,4th,Nodaway,
Slater,1834,3rd,Saline,
Smithton,506,4th,Pettis,
Smithville,10406,4th,"Clay, Platte",
South Fork,212,CDP,Howell,
South Gifford,22,Village,Macon,
South Gorin,62,4th,Scotland,
South Greenfield,122,Village,Dade,
South Lineville,13,Village,Mercer,
Southwest City,922,4th,McDonald,
Spanish Lake,18413,CDP,St. Louis,
Sparta,1876,4th,Christian,
Spickard,222,4th,Grundy,
Spokane,491,CDP,Christian,
Springfield,169176,Home Rule,"Christian, Greene",
St. Ann,13019,4th,St. Louis,
St. Catharine,78,CDP,Linn,
St. Charles,70493,Home Rule,St. Charles,
St. Clair,4791,4th,Franklin,
St. Clement,76,CDP,Pike,
St. Cloud,43,Village,Crawford,
St. Elizabeth,418,Village,Miller,
St. Francisville,137,CDP,Clark,
St. George,1553,CDP,St. Louis,
St. James,3935,3rd,Phelps,
St. John,6643,Home Rule,St. Louis,
St. Joseph,72473,Home Rule,Buchanan,
St. Louis,301578,Home Rule,NA,
St. Martins,1191,4th,Cole,
St. Mary,309,4th,Ste. Genevieve,
St. Paul,3005,4th,St. Charles,
St. Peters,57732,4th,St. Charles,
St. Robert,5192,4th,Pulaski,
St. Thomas,222,4th,Cole,
Ste. Genevieve,4999,4th,Ste. Genevieve,
Stanberry,1129,4th,Gentry,
Stanton,366,CDP,Franklin,
Stark City,125,Village,Newton,
Steele,1853,4th,Pemiscot,
Steelville,1472,4th,Crawford,
Stella,166,Village,Newton,
Stewartsville,733,4th,DeKalb,
Stockton,1683,4th,Cedar,
Stotesbury,12,Village,Vernon,
Stotts City,167,4th,Lawrence,
Stoutland,209,4th,"Camden, Laclede",
Stoutsville,37,Village,Monroe,
Stover,1006,4th,Morgan,
Strafford,2561,4th,Greene,
Strasburg,107,4th,Cass,
Sturgeon,907,4th,Boone,
Sugar Creek,3271,4th,Jackson,
Sullivan,6906,4th,"Crawford, Franklin",
Summer Set,1127,CDP,Jackson,
Summersville,453,4th,"Shannon, Texas",
Sumner,78,4th,Chariton,
Sundown,62,CDP,Ozark,
Sunrise Beach,431,Village,"Camden, Morgan",
Sunset Hills,9198,4th,St. Louis,
Sweet Springs,1316,4th,Saline,
Sycamore Hills,561,Village,St. Louis,
Syracuse,151,4th,Morgan,
Tallapoosa,78,Village,New Madrid,
Taneyville,274,Village,Taney,
Taos,1150,4th,Cole,
Tarkio,1506,4th,Atchison,
Tarrants,22,Village,Pike,
Tarsney Lakes,250,CDP,Lakes,
Tebbets,64,CDP,Callaway,
Terre du Lac,2478,CDP,Oregon,
Thayer,1883,4th,Oregon,
Theodosia,188,Village,Ozark,
Thomasville,23,CDP,Oregon,
Three Creeks,8,Village,Warren,
Tightwad,58,Village,Henry,
Tina,139,Village,Carroll,
Tindall,46,4th,Grundy,
Tipton,2920,4th,Moniteau,
Town and Country,11640,4th,St. Louis,
Tracy,269,4th,Platte,
Trenton,5609,3rd,Grundy,
Trimble,573,4th,Clinton,
Triplett,33,4th,Chariton,
Troy,12686,4th,Lincoln,
Truesdale,853,4th,Warren,
Truxton,59,Village,Lincoln,
Turney,114,Village,Clinton,
Tuscumbia,188,Village,Miller,
Twin Oaks,605,4th,St. Louis,
Umber View Heights,41,Village,Cedar,
Union,12348,4th,Franklin,
Union Star,380,4th,DeKalb,
Unionville,1735,4th,Putnam,
Unity Village,66,Village,Jackson,
University City,35065,Home Rule,St. Louis,
Uplands Park,312,Village,St. Louis,
Urbana,387,4th,Dallas,
Urich,463,4th,Henry,
Utica,222,Village,Livingston,
Valley Park,6885,4th,St. Louis,
Van Buren,747,4th,Carter,
Vandalia,3553,4th,Audrain,
Vandiver,63,Village,Audrain,
Vanduser,183,Village,Scott,
Velda City,1188,4th,St. Louis,
Velda Village Hills,881,Village,St. Louis,
Verona,507,4th,Lawrence,
Versailles,2539,4th,Morgan,
Vibbard,215,CDP,Ray,
Viburnum,667,4th,Iron,
Vienna,581,4th,Maries,
Villa Ridge,2601,CDP,Franklin,
Village of Four Seasons,2383,Village,Camden,
Vinita Park,1970,4th,St. Louis,
Vista,36,Village,St. Clair,
Waco,72,4th,Jasper,
Walker,199,4th,Vernon,
Walnut Grove,652,4th,Greene,
Wardell,310,4th,Pemiscot,
Wardsville,1599,Village,Cole,
Warrensburg,19337,3rd,Johnson,
Warrenton,8429,4th,Warren,
Warsaw,2209,4th,Benton,
Warson Woods,2018,4th,St. Louis,
Washburn,407,4th,Barry,
Washington,14500,3rd,Franklin,
Wasola,115,CDP,Ozark,
Watson,61,Village,Atchison,
Waverly,784,4th,Lafayette,
Wayland,408,4th,Clark,
Waynesville,5406,3rd,Pulaski,
Weatherby,80,Village,DeKalb,
Weatherby Lake,2077,4th,Platte,
Weaubleau,378,4th,Hickory,
Webb City,13031,3rd,Jasper,
Webster Groves,24010,Home Rule,St. Louis,
Weingarten,127,CDP,Ste. Genevieve,
Weldon Spring,5326,4th,St. Charles,
Weldon Spring Heights,93,Village,St. Charles,
Wellington,738,4th,Lafayette,
Wellston,1537,3rd,St. Louis,
Wellsville,998,4th,Montgomery,
Wentworth,98,Village,Newton,
Wentzville,44372,4th,St. Charles,
West Alton,359,Village,St. Charles,
West Line,117,Village,Cass,
West Plains,12184,3rd,Howell,
West Sullivan,285,Village,Crawford,
Westboro,116,4th,Atchison,
Weston,1756,4th,Platte,
Westphalia,378,4th,Osage,
Westwood,316,Village,St. Louis,
Wheatland,277,4th,Hickory,
Wheaton,672,4th,Barry,
Wheeling,220,4th,Livingston,
White Branch,301,CDP,Benton,
Whiteman AFB,2896,CDP,Johnson,
White Oak,101,CDP,Dunklin,
Whiteside,52,Village,Lincoln,
Whitewater,88,Village,Cape Girardeau,
Whiting,155,CDP,Mississippi,
Wilbur Park,439,Village,St. Louis,
Wildwood,35417,Home Rule,St. Louis,
Willard,6344,4th,Greene,
Williamstown,60,CDP,Lewis,
Williamsville,279,4th,Wayne,
Willow Springs,2164,4th,Howell,
Wilson City,77,Village,Mississippi,
Winchester,1447,4th,St. Louis,
Windsor,2775,4th,"Henry, Pettis",
Windsor Place,358,Village,Cooper,
Winfield,1518,4th,Lincoln,
Winigan,37,CDP,Sullivan,
Winona,950,4th,Shannon,
Winston,229,Village,Daviess,
Wood Heights,757,4th,Ray,
Woodson Terrace,3950,4th,St. Louis,
Wooldridge,28,Village,Cooper,
Worth,65,Village,Worth,
Wortham,197,CDP,St. Francois,
Worthington,47,Village,Putnam,
Wright City,4881,4th,Warren,
Wyaconda,214,4th,Clark,
Wyatt,219,4th,Mississippi,
Zalma,73,CDP,Bollinger,
